SNO,Class,TestcaseName,TestStepsExecuted,TestStepsPassed,TestStepsFailed,classpassSteps,classfailSteps,modelpassSteps,modelfailSteps,exteriorpassSteps,exteriorfailSteps,interiorpassSteps,interiorfailSteps,ecpassSteps,ecfailSteps,pspassSteps,psfailSteps,TestOutputFile,ExecStartTime,ExecEndTime,Executedby,ResultCode,ModelYearCode,TypeCode,RegionCode,LanguageCode,EnvironmentCode,TestCaseTypeCode,Status
1001,SUV,"GLE 350 SUV",482,480,2,0,0,480,2,0,0,0,0,0,0,0,0,D:Latest_CodeFusion_ALM_MY21/test-output/RunResults/US_GLE_Class_GLE_350_SUV.html,"2020-11-20 17:06:00","2020-11-20 17:09:00",shanta.shetty,2,2021,1,1,1,3,2,A
1002,SUV,"GLE 350 SUV",483,458,25,0,0,0,0,100,2,110,10,120,10,128,3,D:Latest_CodeFusion_ALM_MY21/test-output/RunResults/US_GLE_Class_GLE_350_SUV.html,"2020-11-20 17:06:00","2020-11-20 17:09:00",shanta.shetty,2,2021,1,1,1,3,3,A
1003,SUV,"GLE 350 4Matic SUV",199,196,3,196,3,0,0,0,0,0,0,0,0,0,0,D:Latest_CodeFusion_ALM_MY21/test-output/RunResults/US_GLE_Class_GLE_350_4M_SUV.html,"2020-11-20 17:09:00","2020-11-20 17:11:00",shanta.shetty,2,2020,1,1,1,3,1,A
1004,SUV,"GLE 350 4Matic SUV",535,530,5,0,0,530,5,0,0,0,0,0,0,0,0,D:Latest_CodeFusion_ALM_MY21/test-output/RunResults/US_GLE_Class_GLE_350_4M_SUV.html,"2020-11-20 17:09:00","2020-11-20 17:11:00",shanta.shetty,2,2020,1,1,1,3,2,A
1005,SUV,"GLE 350 4Matic SUV",485,452,33,0,0,0,0,101,10,119,13,112,10,120,0,D:Latest_CodeFusion_ALM_MY21/test-output/RunResults/US_GLE_Class_GLE_350_4M_SUV.html,"2020-11-20 17:09:00","2020-11-20 17:11:00",shanta.shetty,2,2020,1,1,1,3,3,A
1006,SUV,"GLE 450 4Matic SUV",170,166,4,166,4,0,0,0,0,0,0,0,0,0,0,D:Latest_CodeFusion_ALM_MY21/test-output/RunResults/US_GLE_Class_GLE_450_4M_SUV.html,"2020-11-20 17:11:00","2020-11-20 17:13:00",shanta.shetty,2,2020,1,1,1,3,1,A
1007,SUV,"GLE 450 4Matic SUV",537,529,8,0,0,529,8,0,0,0,0,0,0,0,0,D:Latest_CodeFusion_ALM_MY21/test-output/RunResults/US_GLE_Class_GLE_450_4M_SUV.html,"2020-11-20 17:11:00","2020-11-20 17:13:00",shanta.shetty,2,2020,1,1,1,3,2,A
1008,SUV,"GLE 450 4Matic SUV",467,442,25,0,0,0,0,101,10,114,10,120,3,107,2,D:Latest_CodeFusion_ALM_MY21/test-output/RunResults/US_GLE_Class_GLE_450_4M_SUV.html,"2020-11-20 17:11:00","2020-11-20 17:13:00",shanta.shetty,2,2020,1,1,1,3,3,A
1009,SUV,"AMG GLE 63 S 4Matic SUV",181,168,13,168,13,0,0,0,0,0,0,0,0,0,0,D:Latest_CodeFusion_ALM_MY21/test-output/RunResults/US_GLE_Class_GLE_63S_4M_SUV.html,"2020-11-20 17:16:00","2020-11-20 17:18:00",shanta.shetty,2,2020,1,1,1,3,1,A
1010,SUV,"AMG GLE 63 S 4Matic SUV",568,554,14,0,0,554,14,0,0,0,0,0,0,0,0,D:Latest_CodeFusion_ALM_MY21/test-output/RunResults/US_GLE_Class_GLE_63S_4M_SUV.html,"2020-11-20 17:16:00","2020-11-20 17:18:00",shanta.shetty,2,2020,1,1,1,3,2,A
1011,SUV,"AMG GLE 63 S 4Matic SUV",440,388,52,0,0,0,0,99,12,98,12,104,14,87,14,D:Latest_CodeFusion_ALM_MY21/test-output/RunResults/US_GLE_Class_GLE_63S_4M_SUV.html,"2020-11-20 17:16:00","2020-11-20 17:18:00",shanta.shetty,2,2020,1,1,1,3,3,A
1012,SUV,"GLA 250 SUV",187,177,10,177,10,0,0,0,0,0,0,0,0,0,0,D:Latest_CodeFusion_ALM_MY21/test-output/RunResults/US_GLA_Class_GLA_250_SUV.html,"2020-11-20 17:18:00","2020-11-20 17:20:00",shanta.shetty,2,2021,1,1,1,3,1,A
1013,SUV,"GLA 250 SUV",505,500,5,0,0,500,5,0,0,0,0,0,0,0,0,D:Latest_CodeFusion_ALM_MY21/test-output/RunResults/US_GLA_Class_GLA_250_SUV.html,"2020-11-20 17:18:00","2020-11-20 17:20:00",shanta.shetty,2,2021,1,1,1,3,2,A
