SNO,Class,TestcaseName,TestStepsExecuted,TestStepsPassed,TestStepsFailed,classpassSteps,classfailSteps,modelpassSteps,modelfailSteps,exteriorpassSteps,exteriorfailSteps,interiorpassSteps,interiorfailSteps,ecpassSteps,ecfailSteps,pspassSteps,psfailSteps,TestOutputFile,ExecStartTime,ExecEndTime,Executedby,ResultCode,ModelYearCode,TypeCode,RegionCode,LanguageCode,EnvironmentCode,TestCaseTypeCode,Status
2019,SUV,"GLE 350 SUV",75,60,15,60,15,0,0,0,0,0,0,0,0,0,0,D:Latest_CodeFusion_ALM_MY21/test-output/RunResults/US_GLE_Class_GLE_350_SUV.html,"2020-10-01 17:06:00","2020-10-01 17:09:00",shanta.shetty,2,2021,1,2,2,1,1,A
2020,SUV,"GLE 350 SUV",387,347,40,0,0,347,40,0,0,0,0,0,0,0,0,D:Latest_CodeFusion_ALM_MY21/test-output/RunResults/US_GLE_Class_GLE_350_SUV.html,"2020-10-01 17:06:00","2020-10-01 17:09:00",shanta.shetty,2,2021,1,2,2,1,2,A
2021,SUV,"GLE 350 SUV",311,247,64,0,0,0,0,36,12,33,8,102,32,76,12,D:Latest_CodeFusion_ALM_MY21/test-output/RunResults/US_GLE_Class_GLE_350_SUV.html,"2020-10-01 17:06:00","2020-10-01 17:09:00",shanta.shetty,2,2021,1,2,1,1,3,A
2022,SUV,"GLE 350 4Matic SUV",78,65,13,65,13,0,0,0,0,0,0,0,0,0,0,D:Latest_CodeFusion_ALM_MY21/test-output/RunResults/US_GLE_Class_GLE_350_4M_SUV.html,"2020-10-01 17:09:00","2020-10-01 17:11:00",shanta.shetty,2,2021,1,2,1,1,1,A
2023,SUV,"GLE 350 4Matic SUV",402,348,54,0,0,348,54,0,0,0,0,0,0,0,0,D:Latest_CodeFusion_ALM_MY21/test-output/RunResults/US_GLE_Class_GLE_350_4M_SUV.html,"2020-10-01 17:09:00","2020-10-01 17:11:00",shanta.shetty,2,2021,1,2,2,1,2,A
2024,SUV,"GLE 350 4Matic SUV",357,294,63,0,0,0,0,36,12,40,10,120,23,98,18,D:Latest_CodeFusion_ALM_MY21/test-output/RunResults/US_GLE_Class_GLE_350_4M_SUV.html,"2020-10-01 17:09:00","2020-10-01 17:11:00",shanta.shetty,2,2021,1,2,2,1,3,A
2025,SUV,"GLE 450 4Matic SUV",134,102,32,102,32,0,0,0,0,0,0,0,0,0,0,D:Latest_CodeFusion_ALM_MY21/test-output/RunResults/US_GLE_Class_GLE_450_4M_SUV.html,"2020-10-01 17:11:00","2020-10-01 17:13:00",shanta.shetty,2,2021,1,2,1,1,1,A
2026,SUV,"GLE 450 4Matic SUV",484,420,64,0,0,420,64,0,0,0,0,0,0,0,0,D:Latest_CodeFusion_ALM_MY21/test-output/RunResults/US_GLE_Class_GLE_450_4M_SUV.html,"2020-10-01 17:11:00","2020-10-01 17:13:00",shanta.shetty,2,2021,1,2,2,1,2,A
2027,SUV,"GLE 450 4Matic SUV",464,364,100,0,0,0,0,45,12,56,19,129,13,134,56,D:Latest_CodeFusion_ALM_MY21/test-output/RunResults/US_GLE_Class_GLE_450_4M_SUV.html,"2020-10-01 17:11:00","2020-10-01 17:13:00",shanta.shetty,2,2021,1,2,2,1,3,A
2028,SUV,"GLE 580 4Matic SUV",139,107,32,107,32,0,0,0,0,0,0,0,0,0,0,D:Latest_CodeFusion_ALM_MY21/test-output/RunResults/US_GLE_Class_GLE_580_4M_SUV.html,"2020-10-01 17:13:00","2020-10-01 17:15:00",shanta.shetty,2,2021,1,2,1,1,1,A
2029,SUV,"GLE 580 4Matic SUV",531,453,78,0,0,453,78,0,0,0,0,0,0,0,0,D:Latest_CodeFusion_ALM_MY21/test-output/RunResults/US_GLE_Class_GLE_580_4M_SUV.html,"2020-10-01 17:13:00","2020-10-01 17:15:00",shanta.shetty,2,2021,1,2,2,1,2,A
2030,SUV,"GLE 580 4Matic SUV",545,424,121,0,0,0,0,56,23,78,34,167,19,123,45,D:Latest_CodeFusion_ALM_MY21/test-output/RunResults/US_GLE_Class_GLE_580_4M_SUV.html,"2020-10-01 17:13:00","2020-10-01 17:15:00",shanta.shetty,2,2021,1,2,1,1,3,A
2031,SUV,"AMG GLE 63 S 4Matic SUV",169,124,45,124,45,0,0,0,0,0,0,0,0,0,0,D:Latest_CodeFusion_ALM_MY21/test-output/RunResults/US_GLE_Class_GLE_63S_4M_SUV.html,"2020-10-01 17:16:00","2020-10-01 17:18:00",shanta.shetty,2,2021,1,2,1,1,1,A
2032,SUV,"AMG GLE 63 S 4Matic SUV",565,467,98,0,0,467,98,0,0,0,0,0,0,0,0,D:Latest_CodeFusion_ALM_MY21/test-output/RunResults/US_GLE_Class_GLE_63S_4M_SUV.html,"2020-10-01 17:16:00","2020-10-01 17:18:00",shanta.shetty,2,2021,1,2,1,1,2,A
2033,SUV,"AMG GLE 63 S 4Matic SUV",590,475,115,0,0,0,0,98,34,98,34,134,23,145,24,D:Latest_CodeFusion_ALM_MY21/test-output/RunResults/US_GLE_Class_GLE_63S_4M_SUV.html,"2020-10-01 17:16:00","2020-10-01 17:18:00",shanta.shetty,2,2021,1,2,2,1,3,A
2034,SUV,"GLA 250 SUV",157,134,23,134,23,0,0,0,0,0,0,0,0,0,0,D:Latest_CodeFusion_ALM_MY21/test-output/RunResults/US_GLA_Class_GLA_250_SUV.html,"2020-10-01 17:18:00","2020-10-01 17:20:00",shanta.shetty,2,2021,1,2,2,1,1,A
