sno,Class,TestcaseName,TestStepsExecuted,TestStepsPassed,TestStepsFailed,classpassSteps,classfailSteps,modelpassSteps,modelfailSteps,extpassSteps,extfailSteps,intepassSteps,intefailSteps,entertinpassSteps,entertinfailSteps,perforpassSteps,perforfailSteps,TestOutputFile,ExecStartTime,ExecEndTime,Executedby,ResultCode,ModelYearCode,TypeCode,RegionCode,LanguageCode,EnvironmentCode,status
65,Sedan,E53W4,691,690,1,62,1,375,0,31,0,29,0,107,0,86,0,D:Latest_CodeFusion_ALM_MY21/test-output/RunResults/US_E_Class_AMG_E_53_Sedan_16th_Prod.html,"2020-11-04 19:44:05","2020-11-04 19:46:24",shanta.shetty,2,2021,1,1,1,3,A
66,Sedan,E63W4S,706,705,1,62,1,384,0,33,0,24,0,109,0,93,0,D:Latest_CodeFusion_ALM_MY21/test-output/RunResults/US_E_Class_AMG_E_63_S_Sedan_Stage3.html,"2020-11-04 19:46:32","2020-11-04 19:48:32",shanta.shetty,2,2021,1,1,1,3,A
67,Wagon,E450S4,657,656,1,62,0,350,1,27,0,31,0,112,0,74,0,D:Latest_CodeFusion_ALM_MY21/test-output/RunResults/US_E_Class_E_450_4M_Wagon.html,"2020-11-04 19:48:38","2020-11-04 19:50:39",shanta.shetty,2,2021,1,1,1,3,A
68,Cabriolet,C300A,573,568,5,62,0,306,0,40,0,23,5,79,0,58,0,D:Latest_CodeFusion_ALM_MY21/test-output/RunResults/US_C_Class_C_300_Cabriolet.html,"2020-11-04 19:54:58","2020-11-04 19:57:51",shanta.shetty,2,2021,1,1,1,3,A
69,Coupe,E450C,623,621,2,64,0,336,0,35,1,23,1,89,0,74,0,D:Latest_CodeFusion_ALM_MY21/test-output/RunResults/US_E_Class_E_450_Coupe_Prod.html,"2020-11-04 19:59:08","2020-11-04 20:01:27",shanta.shetty,2,2021,1,1,1,3,A
70,Coupe,E450C4,629,627,2,64,0,339,0,35,1,23,1,89,0,77,0,D:Latest_CodeFusion_ALM_MY21/test-output/RunResults/US_E_Class_E_450_4M_Coupe_Prod.html,"2020-11-04 20:01:40","2020-11-04 20:04:05",shanta.shetty,2,2021,1,1,1,3,A
71,Coupe,E53C4,640,630,10,30,0,365,0,30,1,23,7,100,2,82,0,D:Latest_CodeFusion_ALM_MY21/test-output/RunResults/US_E_Class_AMG_E_53_Coupe_Prod.html,"2020-11-04 20:04:15","2020-11-04 20:06:11",shanta.shetty,2,2021,1,1,1,3,A
72,Coupe,CLS450C,638,634,4,64,0,351,1,37,0,28,0,88,3,66,0,D:Latest_CodeFusion_ALM_MY21/test-output/RunResults/US_CLS_Class_CLS_450_Coupe.html,"2020-11-04 20:06:20","2020-11-04 20:08:19",shanta.shetty,2,2021,1,1,1,3,A
73,Coupe,CLS450C4,648,644,4,64,0,356,1,37,0,28,0,88,3,71,0,D:Latest_CodeFusion_ALM_MY21/test-output/RunResults/US_CLS_Class_CLS_450_4Matic_Coupe.html,"2020-11-04 20:08:26","2020-11-04 20:11:01",shanta.shetty,2,2021,1,1,1,3,A
74,Coupe,CLS53C4,682,677,5,52,0,376,1,36,0,32,2,99,2,82,0,D:Latest_CodeFusion_ALM_MY21/test-output/RunResults/US_CLS_Class_AMG_CLS_53_Coupe.html,"2020-11-04 20:11:07","2020-11-04 20:13:10",shanta.shetty,2,2021,1,1,1,3,A
