"SNO";"Class";"TestcaseName";"TestStepsExecuted";"TestStepsPassed";"TestStepsFailed";"classpassSteps";"classfailSteps";"modelpassSteps";"modelfailSteps";"exteriorpassSteps";"exteriorfailSteps";"interiorpassSteps";"interiorfailSteps";"ecpassSteps";"ecfailSteps";"pspassSteps";"psfailSteps";"TestOutputFile";"ExecStartTime";"ExecEndTime";"Executedby";"ResultCode";"ModelYearCode";"TypeCode";"RegionCode";"LanguageCode";"EnvironmentCode";"TestCaseTypeCode";"Status"
16;"SUV";"GLA 250 SUV";157.0;134.0;23.0;134.0;23.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;"D:Latest_CodeFusion_ALM_MY21/test-output/RunResults/US_GLA_Class_GLA_250_SUV.html";"2020-09-01 17:18:00";"2020-09-01 17:20:00";"shanta.shetty";2;2021;1;1;1;1;1;"A"
17;"SUV";"GLA 250 SUV";587.0;568.0;19.0;0.0;0.0;568.0;19.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;"D:Latest_CodeFusion_ALM_MY21/test-output/RunResults/US_GLA_Class_GLA_250_SUV.html";"2020-09-01 17:18:00";"2020-09-01 17:20:00";"shanta.shetty";2;2021;1;1;1;1;2;"A"
18;"SUV";"GLA 250 SUV";683.0;556.0;127.0;0.0;0.0;0.0;0.0;123.0;24.0;143.0;35.0;125.0;34.0;165.0;34.0;"D:Latest_CodeFusion_ALM_MY21/test-output/RunResults/US_GLA_Class_GLA_250_SUV.html";"2020-09-01 17:18:00";"2020-09-01 17:20:00";"shanta.shetty";2;2021;1;1;1;1;3;"A"
19;"SUV";"AMG GLA 35 SUV";210.0;145.0;65.0;145.0;65.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;"D:Latest_CodeFusion_ALM_MY21/test-output/RunResults/US_GLA_Class_GLA_35_SUV.html";"2020-09-01 17:21:00";"2020-09-01 17:22:00";"shanta.shetty";2;2021;1;1;1;1;1;"A"
20;"SUV";"AMG GLA 35 SUV";585.0;540.0;45.0;0.0;0.0;540.0;45.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;"D:Latest_CodeFusion_ALM_MY21/test-output/RunResults/US_GLA_Class_GLA_35_SUV.html";"2020-09-01 17:21:00";"2020-09-01 17:22:00";"shanta.shetty";2;2021;1;1;1;1;2;"A"
21;"SUV";"AMG GLA 35 SUV";747.0;617.0;130.0;0.0;0.0;0.0;0.0;143.0;65.0;129.0;23.0;169.0;19.0;176.0;23.0;"D:Latest_CodeFusion_ALM_MY21/test-output/RunResults/US_GLA_Class_GLA_35_SUV.html";"2020-09-01 17:21:00";"2020-09-01 17:22:00";"shanta.shetty";2;2021;1;1;1;1;3;"A"
22;"SUV";"GLE 350 SUV";168.0;145.0;23.0;145.0;23.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;"D:Latest_CodeFusion_ALM_MY21/test-output/RunResults/US_GLE_Class_GLE_350_SUV.html";"2020-09-09 17:06:00";"2020-09-09 17:09:00";"shanta.shetty";2;2020;1;1;1;1;1;"A"
23;"SUV";"GLE 350 SUV";524.0;459.0;65.0;0.0;0.0;459.0;65.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;"D:Latest_CodeFusion_ALM_MY21/test-output/RunResults/US_GLE_Class_GLE_350_SUV.html";"2020-09-09 17:06:00";"2020-09-09 17:09:00";"shanta.shetty";2;2020;1;1;1;1;2;"A"
24;"SUV";"GLE 350 SUV";460.0;383.0;77.0;0.0;0.0;0.0;0.0;90.0;12.0;87.0;23.0;98.0;15.0;108.0;27.0;"D:Latest_CodeFusion_ALM_MY21/test-output/RunResults/US_GLE_Class_GLE_350_SUV.html";"2020-09-09 17:06:00";"2020-09-09 17:09:00";"shanta.shetty";2;2020;1;1;1;1;3;"A"
25;"SUV";"GLE 350 4Matic SUV";132.0;98.0;34.0;98.0;34.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;"D:Latest_CodeFusion_ALM_MY21/test-output/RunResults/US_GLE_Class_GLE_350_4M_SUV.html";"2020-09-09 17:09:00";"2020-09-09 17:11:00";"shanta.shetty";2;2021;1;1;1;1;1;"A"
26;"SUV";"GLE 350 4Matic SUV";535.0;490.0;45.0;0.0;0.0;490.0;45.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;"D:Latest_CodeFusion_ALM_MY21/test-output/RunResults/US_GLE_Class_GLE_350_4M_SUV.html";"2020-09-09 17:09:00";"2020-09-09 17:11:00";"shanta.shetty";2;2021;1;1;1;1;2;"A"
27;"SUV";"GLE 350 4Matic SUV";476.0;396.0;80.0;0.0;0.0;0.0;0.0;90.0;12.0;98.0;19.0;99.0;20.0;109.0;29.0;"D:Latest_CodeFusion_ALM_MY21/test-output/RunResults/US_GLE_Class_GLE_350_4M_SUV.html";"2020-09-09 17:09:00";"2020-09-09 17:11:00";"shanta.shetty";2;2021;1;1;1;1;3;"A"
28;"SUV";"GLE 450 4Matic SUV";184.0;154.0;30.0;154.0;30.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;"D:Latest_CodeFusion_ALM_MY21/test-output/RunResults/US_GLE_Class_GLE_450_4M_SUV.html";"2020-09-09 17:11:00";"2020-09-09 17:13:00";"shanta.shetty";2;2020;1;1;1;1;1;"A"
29;"SUV";"GLE 450 4Matic SUV";596.0;540.0;56.0;0.0;0.0;540.0;56.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;"D:Latest_CodeFusion_ALM_MY21/test-output/RunResults/US_GLE_Class_GLE_450_4M_SUV.html";"2020-09-09 17:11:00";"2020-09-09 17:13:00";"shanta.shetty";2;2020;1;1;1;1;2;"A"
30;"SUV";"GLE 450 4Matic SUV";479.0;406.0;73.0;0.0;0.0;0.0;0.0;98.0;19.0;99.0;15.0;100.0;19.0;109.0;20.0;"D:Latest_CodeFusion_ALM_MY21/test-output/RunResults/US_GLE_Class_GLE_450_4M_SUV.html";"2020-09-09 17:11:00";"2020-09-09 17:13:00";"shanta.shetty";2;2020;1;1;1;1;3;"A"
31;"SUV";"GLE 580 4Matic SUV";215.0;170.0;45.0;170.0;45.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;"D:Latest_CodeFusion_ALM_MY21/test-output/RunResults/US_GLE_Class_GLE_580_4M_SUV.html";"2020-09-09 17:13:00";"2020-09-09 17:15:00";"shanta.shetty";2;2021;1;1;1;1;1;"A"
32;"SUV";"GLE 580 4Matic SUV";498.0;453.0;45.0;0.0;0.0;453.0;45.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;"D:Latest_CodeFusion_ALM_MY21/test-output/RunResults/US_GLE_Class_GLE_580_4M_SUV.html";"2020-09-09 17:13:00";"2020-09-09 17:15:00";"shanta.shetty";2;2021;1;1;1;1;2;"A"
